Filename,pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nport,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.interactive_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric
Spyware-TIBS-6e274cbbdefce4f2bcb3543da3f4043319541e51a110356e68cea2ae85153427-6.raw,22,8,13.727272727272727,0,235.1818181818182,939,42.68181818181818,5174,235.1818181818182,0,479,1689,23,358,485,61,376,85,73,170,26,47,26,0.026970954356846474,0.0487551867219917,0.026970954356846474,1,1,6,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.22727272727272727,137,385,220,26,23,114,0,114,88,0,8
Spyware-TIBS-7cbae8b99aad8d5f683842fe9b1d44647599dfa2c73feac803baa1f9cbf789a8-9.raw,27,9,13.444444444444445,0,265.51851851851853,1212,44.888888888888886,7169,265.51851851851853,0,541,2585,30,554,634,71,518,107,134,216,30,56,30,0.024174053182917002,0.045124899274778404,0.024174053182917002,2,2,12,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.14814814814814814,0.07407407407407407,0.18518518518518517,138,389,221,26,24,116,0,120,88,0,8
Spyware-TIBS-45f85eaf165337665b247db9aecc04e018d6402f73da2730fc66b885252abe7e-7.raw,27,9,13.814814814814815,0,267.8888888888889,1212,44.888888888888886,7233,267.8888888888889,0,541,2614,30,555,659,71,518,107,134,216,30,56,30,0.024174053182917002,0.045124899274778404,0.024174053182917002,2,2,12,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.14814814814814814,0.07407407407407407,0.18518518518518517,138,389,221,26,24,116,0,120,88,0,8
Spyware-TIBS-8d05ac658cc148b5089cba5909d167e79b2ee62d09dfdba71234792f184da271-8.raw,27,9,13.814814814814815,0,267.6666666666667,1212,44.888888888888886,7227,267.6666666666667,0,541,2612,30,554,655,71,518,107,134,216,30,56,30,0.024174053182917002,0.045124899274778404,0.024174053182917002,2,2,12,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.14814814814814814,0.07407407407407407,0.18518518518518517,138,389,221,26,24,116,0,120,88,0,8
Spyware-TIBS-76ba065d9bbd91b3a2a24ae4c092e3dce4f2555b79ea5c14bc3ff9495ff7e965-4.raw,22,8,13.454545454545455,0,230.72727272727272,936,42.54545454545455,5076,230.72727272727272,0,470,1612,23,353,476,61,376,85,71,170,25,46,25,0.026041666666666668,0.04791666666666667,0.026041666666666668,1,1,6,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.22727272727272727,137,385,220,26,23,114,0,114,88,0,8
Spyware-TIBS-89a8dd64095295fe228f580ae94893cd8a6cd628ee3f36ae208b6d7ff79a7e55-3.raw,22,8,16.5,0,242.13636363636363,936,42.54545454545455,5327,242.13636363636363,0,473,1689,23,353,613,61,376,85,71,170,25,46,25,0.026041666666666668,0.04791666666666667,0.026041666666666668,1,1,6,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.22727272727272727,137,385,220,26,23,114,0,114,88,0,8
Spyware-TIBS-6e996c9ce02c848f4a648e77d67ca89da64badb09faf00c5edbdea6cf7e2b93d-5.raw,22,8,13.5,0,229.13636363636363,936,42.54545454545455,5041,229.13636363636363,0,470,1596,23,353,464,61,376,85,71,170,25,46,25,0.026041666666666668,0.04791666666666667,0.026041666666666668,1,1,6,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.22727272727272727,137,385,220,26,23,114,0,114,88,0,8
Spyware-TIBS-19f82488e174dbe2b094ad9e520ee3956ef6c14f8faf5bd0bb368f0ea73de6ef-2.raw,22,8,16.40909090909091,0,244.8181818181818,936,42.54545454545455,5386,244.8181818181818,0,485,1693,23,353,603,61,376,85,72,170,25,46,25,0.026041666666666668,0.04791666666666667,0.026041666666666668,1,1,6,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.22727272727272727,137,385,220,26,23,114,0,114,88,0,8
Spyware-TIBS-40a45471e1b7f0ad943f0e2f736afb24b7048c09caf44befbfaf8c10c89aca25-3.raw,22,8,16.454545454545453,0,241.8181818181818,926,42.09090909090909,5320,241.8181818181818,0,477,1673,23,338,606,61,372,85,70,170,19,40,19,0.020127118644067795,0.0423728813559322,0.020127118644067795,1,1,6,1.0,1,0,1,1,5,3,6,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.21739130434782608,0.13043478260869565,0.2608695652173913,137,385,220,26,23,114,0,114,88,0,8
Spyware-TIBS-10f9ff1e9f0cddbac2bf5dd5921a15f8c925fa57b2a1d2f9f10772a3b6bba6b2-7.raw,27,9,14.074074074074074,0,268.85185185185185,1212,44.888888888888886,7259,268.85185185185185,0,541,2622,30,555,670,71,518,107,134,216,30,56,30,0.024174053182917002,0.045124899274778404,0.024174053182917002,2,2,12,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.14814814814814814,0.07407407407407407,0.18518518518518517,138,389,221,26,24,116,0,120,88,0,8
Spyware-TIBS-8fdea52e2c3a415a4be17226fc6cd3fe62e4b49fc156b4a828a0bec730b1cdc5-1.raw,22,8,16.5,0,244.1818181818182,934,42.45454545454545,5372,244.1818181818182,0,485,1679,23,345,603,61,376,85,71,170,24,45,24,0.025078369905956112,0.047021943573667714,0.025078369905956112,1,1,6,1.0,1,0,1,1,5,3,5,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.21739130434782608,0.13043478260869565,0.21739130434782608,137,385,220,26,23,114,0,114,88,0,8
Spyware-TIBS-49bb6d6117975b63789c7307ca5c4b166239b7d2c342f80a2487dfe99ef438f2-2.raw,22,8,16.454545454545453,0,244.5,936,42.54545454545455,5379,244.5,0,485,1690,23,353,598,61,376,85,72,170,25,46,25,0.026041666666666668,0.04791666666666667,0.026041666666666668,1,1,6,1.0,2,0,2,2,6,4,7,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.25,0.16666666666666666,0.2916666666666667,137,385,220,26,23,114,0,114,88,0,8
Spyware-TIBS-8fdea52e2c3a415a4be17226fc6cd3fe62e4b49fc156b4a828a0bec730b1cdc5-3.raw,22,8,16.40909090909091,0,242.5909090909091,936,42.54545454545455,5337,242.5909090909091,0,480,1690,23,353,605,61,376,85,71,170,25,46,25,0.026041666666666668,0.04791666666666667,0.026041666666666668,1,1,6,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.22727272727272727,137,385,220,26,23,114,0,114,88,0,8
